edition_key,contributor_name,contributor_role,by_statement,translated_from,translation_of
OL17722267M,,,by Nathaniel Hawthorne ; [illustrated by W.A. Dwiggins],,
OL26337440M,,,Nathaniel Hawthorne ; with an afterword by Jonty Claypole,,
OL26562376M,,,introd. by John C. Gerber,,
OL15058914M,,,by Norman Holmes Pearson.,,
OL26331797M,,,Nathaniel Hawthorne,,
OL26585653M,,,Nathaniel Hawthorne ; edited by Ross C. Murfin,,
OL178563M,,,by Nathaniel Hawthorne. Illustrated by George H. Boughton ...,,
OL6431797M,,,"by Nathaniel Hawthorne, with lithographs by Henry Varnum Poor and an introduction by Dorothy Canfield.",,
OL4878804M,,,Nathaniel Hawthorne ; with fifteen original ill. by A. Robaudi and C. Graham.,,
OL6470742M,,,by Nathaniel Hawthorne.  This edition illustrated with wood blocks designed and engraved by Valenti Angelo.,,
OL24115169M,,,Nathaniel Hawthorne.,,
OL24993628M,,,by Nathaniel Hawthorne,,
OL24255511M,,,Nathaniel Hawthorne.,,
OL2216739M,,,by Nathaniel Hawthorne.,,
OL1081869M,,,Nathaniel Hawthorne.,,
OL23655228M,,,Nathaniel Hawthorne ; introduction by Michael J. Colacurcio.,,
OL23770161M,,,Nathaniel Hawthorne.,,
OL5849784M,,,"Edited by Sculley Bradley, Richmond Croom Beatty [and] E. Hudson Long.",,
OL3957723M,,,Nathaniel Hawthorne ; edited by Rita K. Gollin.,,
OL1573564M,,,Nathaniel Hawthorne.,,
OL13571514M,,,by Nathaniel Hawthorne.,,
OL2201250M,,,Nathaniel Hawthorne ; edited with an introduction by Brian Harding.,,
OL6902429M,,,by Nathaniel Hawthorne; with illustrations in photogravure by F.O.C. Darley.,,
OL7071824M,,,by Nathaniel Hawthorne.,,
OL22607390M,,,by Nathaniel Hawthorne.,,
OL3794351M,,,Nathaniel Hawthorne.,,
OL4875931M,,,With a critical and biographical profile of Nathaniel Hawthorne by Norman Holmes Pearson.,,
OL7163660M,,,by Nathaniel Hawthorne ; with illustrations by Hugh Thomson.,,
OL6622113M,,,"by Nathaniel Hawthorne ; edited, with introduction and notes, by Claire Soulé Seay.",,
OL22837739M,,,by Nathaniel Hawthorne ; with eight illustrations by T.H.Robinson.,,
OL24574191M,,,Nathaniel Hawthorne ; introduction by Michael J. Colacurcio,,
OL13448421M,,,by Nathaniel Hawthorne.,,
OL5792011M,,,Edited with an introd. and notes by Harry Levin.,,
OL13910243M,,,by Nathaniel Hawthorne ; illustrated by Frank McKenna.,,
OL7173915M,,,by Nathaniel Hawthorne.,,
OL16331377M,,,[by] Nathaniel Hawthorne. With an introduction by Douglas Grant,,
OL19817409M,,,by Nathaniel Hawthorne ; adapted and edited by Herbert Spencer Robinson,,
OL23139265M,,,Nathaniel Hawthorne ; edited with notes by Brian Harding ; with a new introduction by Cindy Weinstein.,,
OL2841297M,,,by Nathaniel Hawthorne ; illustrated by Hugh Thomson.,,
OL7116104M,,,by Nathaniel Hawthorne ; with an introduction by George Parsons Lathrop.,,
OL965764M,,,Nathaniel Hawthorne.,,
OL23935062M,,,Nathaniel Hawthorne ; edited by Mary R. Reichardt .,,
OL22417025M,,,[edited and] with an introduction by Douglas Grant.,,
OL13825160M,,,by Nathaniel Hawthorne ; with illustrations by Hugh Thomson.,,
OL23576097M,,,Nathaniel Hawthorne.,,
OL6150164M,,,adapted and edited by Herbert Spencer Robinson.,,
OL7061821M,,,By Nathaniel Hawthorne.,,
OL3378555M,,,Nathaniel Hawthorne ; edited by John Stephen Martin.,,
OL19285577M,,,Nathaniel Hawthorne :,,
OL13570445M,,,by Nathaniel Hawthorne.,,
OL17793618M,,,Nathaniel Hawthorne.,,
OL17728063M,,,Nathaniel Hawthorne ; illustrated by Hugh Thomson.,,
OL2718757M,,,Nathaniel Hawthorne ; illustrated by Barry Moser ; with an introduction by Alexander Eliot.,,
OL1744068M,,,Nathaniel Hawthorne ; with an introduction by Alfred Kazin.,,
OL24832611M,,,by Nathaniel Hawthorne,,
OL17859413M,,,"by Nathaniel Hawthorne, edited with introduction and notes, by Ernest E. Leisy.",,
OL24103715M,,,Nathaniel Hawthorne ; introduction by Michael J. Colacurcio.,,
OL1278924M,,,Nathaniel Hawthorne.,,
OL13808544M,,,frontispiece by T. Eyre Macklin.,,
OL24938723M,,,"Nathaniel Hawthorne ; with an introduction and notes by Nancy Stade ; George Stade, consulting editorial director",,
OL4098972M,,,Nathaniel Hawthorne.,,
OL10146559M,Brian Harding,Editor,Nathaniel Hawthorne ; edited with notes by Brian Harding ; with a new introduction by Cindy Weinstein,,
OL10146559M,Brian Harding,Notes by,Nathaniel Hawthorne ; edited with notes by Brian Harding ; with a new introduction by Cindy Weinstein,,
OL10146559M,Cindy Weinstein,Introduction,Nathaniel Hawthorne ; edited with notes by Brian Harding ; with a new introduction by Cindy Weinstein,,
OL18562705M,Russell Banks,Introduction,,,
OL18562705M,David Frampton,Woodcuts,,,
OL23698117M,,,Nathaniel Hawthorne.,,
OL5603833M,,,"With an introd., a note on the text, a bibliography, and an annotated chronology, prepared by Hyatt H. Waggoner and George Monteiro.",,
OL17639716M,,,"by Nathaniel Hawthorne, with an introduction by George Parsons Lathrop.",,
OL13769607M,,,[designed and illustrated by W.A. Dwiggins].,,
OL2431219M,,,Nathaniel Hawthorne ; illustrated by David Klein.,,
OL5630366M,,,Introd. by Alan B. Donovan.,,
OL646391M,,,Netheniyala Hothorna ; anuvādaka Viśvanātha Maganalāla Bhaṭṭa.,,
OL6776141M,,,by Nathaniel Hawthorne.,,
OL17793709M,,,[Designed and illustrated by W. A. Dwiggins],,
OL22012253M,,,"Nathaniel Hawthorne ; an authoritative text, backgrounds and sources, criticism ; ed. by Sculley Bradley ... [et al.].",,
OL6500476M,,,"by Nathaniel Hawthorne, with illustrations by Nell Booker; introduction by Carl Van Doren.",,
OL6902428M,,,By Nathaniel Hawthorne.,,
OL13754316M,,,introduction by Roy Harvey Pearce.,,
OL21385407M,,,Nathaniel Hawthorne ; introduction by William Charvat.,,
OL23035075M,,,Nataniel Hawthorne ; edited by Susan S. Williams.,,
OL22975808M,,,by Nathaniel Hawthorne.,,
OL13750288M,,,with a critical and biographical profile of Nathaniel Hawthorne by Norman HolmesPearson.,,
OL24368406M,,,by Nathaniel Hawthorne. With an afterword by Maxwell Geismar,,
OL22817421M,,,Nathaniel Hawthorne.,,
OL17920846M,,,Nathaniel Hawthorne ; with an introduction by Nina Baym and notes by Thomas E. Connolly.,,
OL24954835M,,,by Nathaniel Hawthorne ; with an afterword by Maxwell Geismar,,
OL7129982M,,,By Nathaniel Hawthorne.,,
OL2389324M,,,[Nathaniel Hawthorne] ; edited by Seymour Gross ... [et al.].,,
OL23157799M,,,Nathaniel Hawthorne ; with features written by Philip Wilkinson.,,
OL24116487M,,,Nathaniel Hawthorne ; introduction by Michael J. Colacurcio.,,
OL6761616M,,,by Nathaniel Hawthorne ; ill. by Joanne Pursell.,,
OL3314873M,,,Nathaniel Hawthorne.,,
OL6614968M,,,with an introduction by Stuart P. Sherman.,,
OL2871634M,,,Nathaniel Hawthorne ; illustrations by Robert Quackenbush ; afterword by James Guimond.,,
OL7106163M,,,By Nathaniel Hawthorne.,,
OL23164877M,,,by Nathaniel Hawthorne.,,
OL7253386M,,,by Nathaniel Hawthorne.,,
OL7384018M,Brian Harding,Introduction,,,
OL7384018M,Brian Harding,Notes by,,,
OL3775649M,,,by Nathaniel Hawthorne.,,
OL3960645M,,,Nathaniel Hawthorne.,,
OL23770197M,,,Nathaniel Hawthorne ; edited with an introd. and notes by Harry Levin.,,
OL13672712M,,,introduction by John C. Gerber.,,
OL13955897M,,,introduction by R. W. Butterfield.,,
OL24060064M,,,Nathaniel Hawthorne.,,
OL17721672M,,,Introduction by R. W. Butterfield.,,
OL6699910M,,,by Nathaniel Hawthorne; introduction by William Lyon Phelps.,,
OL13863136M,,,Nathaniel Hawthorne ; introduction by R.W.  Butterfield.,,
OL23953897M,,,Nathaniel Hawthorne ; introduction by Michael J. Colacurcio.,,
OL17804919M,,,With a foreword by Leo Marx.,,
OL6902430M,,,by Nathaniel Hawthorne.,,
OL460475M,,,Nathaniel Hawthorne ; edited with an introduction and notes by Brian Harding.,,
OL22606676M,,,Nathaniel Hawthorne ; edited by John Stephen Martin.,,
OL3432629M,,,Nathaniel Hawthorne ; supplementary materials written by Margaret Brantley.,,
OL23141739M,,,"by Nathaniel Hawthorne ; Gert Coleman, editor ; illustrations by Adam Bridgewater.",,
OL1487806M,,,Nathaniel Hawthorne ; introduced by Christopher Bigsby.,,
OL4554856M,,,Nathaniel Hawthorne ; edited by Sculley Bradley ... [et al.].,,
OL17728066M,,,[Designed and illustrated by W. A. Dwiggins],,
OL17190143M,,,Nathaniel Hawthorne ; edited by Ross C. Murfin,,
OL6072614M,,,introd. by John C. Gerber.,,
OL1272961M,,,Nathaniel Hawthorne.,,
OL23257805M,,,Nathaniel Hawthorne ; illustrations by Robert Quackenbush ; afterword by James Guimond.,,
OL2224771M,,,Nathaniel Hawthorne ; edited by Ross C. Murfin.,,
OL5681940M,,,Introd. by Edwin H. Cady.,,
OL22866899M,,,by Nathaniel Hawthorne.,,
OL13648387M,,,(by) Nathaniel Hawthorne ; with a general introduction by David Levin.,,
OL5235470M,,,Edited with notes by Toshisaburo Koyama.,,
OL22784957M,,,"by Nathaniel Hawthorne ; illustrated with scenes from the photoplay, a Metro-Goldwyn-Mayer picture starring Lillian Gish.",,
OL6026934M,,,Nathaniel Hawthorne.,,
OL24637595M,,,by Nathaniel Hawthorne,,
OL23080837M,,,[Nathaniel Hawthorne].,,
OL24508708M,,,by Nathaniel Hawthorne,,
OL22866944M,,,Nathaniel Hawthorne.,,
OL24929973M,,,by Nathaniel Hawthorne,,
OL13777466M,,,introduction by Roy Harvey Pearce.,,
OL3504140M,,,Nathaniel Hawthorne ; with an introduction by Nina Baym and notes by Thomas E. Connolly.,,
OL5858646M,,,Edited with an introd. by Larzer Ziff.,,
OL23677037M,,,Nathaniel Hawthorne ; edited by Mary R. Reichardt ; [series editor] Joseph Pearce.,,
OL5535390M,,,"Edited, with an introd., by Terence Martin.",,
OL24381756M,,,by Nathaniel Hawthorne,,
OL6785873M,,,Nathaniel Hawthorne ; introduction by Kathryn Harrison ; notes by Gretchen Short.,,
OL3561335M,,,Nathaniel Hawthorne.,,
OL22147510M,,,Nathaniel Hawthorne ; introd. by R. W. Butterfield.,,
OL22971732M,,,Huo Sang zhu ; Hu Yün-heng yi.,,
OL19577381M,,,Nasani'er Huosang zhu ; Shi Hang yi.,,
OL22953085M,,,Huo Sang chu.,,
OL20382485M,,,Wu guangjian xuan yi.,,
OL24423058M,Percy Dearmer,Introduction,,,
OL24423058M,Thomson,Portrait,,,
OL24423058M,"Morrison and Gibb Limited, Edinbrugh",Printer,,,
OL23019631M,,,"Nathaniel Hawthorne ; prólogo, Jesús Aguirre, Duque de Alba ; traduccion, A. Ruste.",,
OL23001887M,,,Huosang zhu ; Huang Youling yi.,,
OL24943854M,,,Anne Weale,,
OL2872281M,,,Nathaniel Hawthorne ; illustrated by Barry Moser ; with an introduction by Alexander Eliot.,,
OL20937636M,,,Nathaniel Hawthorne.,,
OL22858534M,,,Nathaniel Hawthorne ; with an introduction and notes by Nancy Stade.,,
OL4765776M,,,Nathaniel Hawthorne ; illustrated by Elaine Raphael and Don Bolognese.,,
OL6068249M,,,with an introduction by Newton Arvin.,,
OL23032908M,,,Nathaniel Hawthorne ; [reložila Jarmila Fastrová].,,
OL20186507M,,,Nathaniel Hawthorne.,,
OL23573425M,,,Nās̲ānyil Hās̲ūrn ; tarjamah-ʼi Sīmīn Dānishvar.,,
OL14977688M,,,by Anne Weale.,,
OL24934761M,,,by Nathaniel Hawthorne,,
OL13910242M,,,by Nathaniel Hawthorne.,,
OL6731538M,,,"by Nathaniel Hawthorne, edited with introduction and notes, by Ernest E. Leisy ...",,
OL24941731M,,,Nathaniel Hawthorne,,
OL23623038M,,,Nathaniel Hawthorne.,,
OL749854M,,,Nathaniel Hawthorne ; edited by Susan Cockcroft.,,
OL23392391M,,,Nathaniel Hawthorne.,,
OL3328194M,,,Nathaniel Hawthorne.,,
OL23711975M,,,Nathaniel Hawthorne ; edited by Mary R. Reichardt .,,
OL2389024M,,,Nathaniel Hawthorne ; illustrated by Hugh Thomson.,,
OL17623292M,,,Nathaniel Hawthorne.,,
OL6805556M,,,by Nathaniel Hawthorne.,,
OL24043675M,,,Nathaniel Hawthorne.,,
OL22943489M,,,Huosang zhu.,,
OL24932876M,,,Anne Weale,,
OL23188639M,,,Lucy Monroe.,,
OL20716474M,,,by Georgette Heyer.,,
OL60555757M,,,,eng,
OL27954433M,,,,eng,Regretting You
OL38778104M,Milo Krmpotic,Translator,,eng,Regretting You
OL50536200M,Fernando Mateus,Cover Design,,,
OL25109138M,,,by Georgette Heyer,,
OL15126035M,,,Georgette Heyer.,,
OL24108081M,,,Georgette Heyer ; with a foreword by Candace Camp.,,
OL3417832M,,,by Georgette Heyer.,,
OL14981150M,,,by Anne Mather.,,
OL1645884M,,,by Karen Van der Zee.,,
OL3388071M,,,Sara Craven.,,
OL2673629M,,,by Carole Mortimer.,,
OL21871872M,,,by Margaret Way.,,
OL26329428M,,,Georgette Heyer ; with a foreword by Candace Camp,,
OL20810242M,,,Georgette Heyer.,,
OL23991873M,,,Georgette Heyer ; with a foreword by Candace Camp.,,
OL1541683M,,,Georgette Heyer.,,
OL14978346M,,,by Anne Mather.,,
OL14977359M,,,byAnne Mather.,,
OL35273033M,Tanya Eby,Narrator/Reader,,,
OL35273033M,Lauren Ezzo,Narrator/Reader,,,
OL30615043M,Tanya Eby,Narrator/Reader,,,
OL30615043M,Lauren Ezzo,Narrator/Reader,,,
OL20268643M,,,Lindsay Armstrong.,,
OL14991465M,,,Georgette Heyer.,,
OL31996716M,Anne Flosnik,Narrator/Reader,,,
OL22264231M,,,Amanda Quick.,,
OL24518375M,,,Anonymous,,
OL60560174M,Yiʹsraelah Ḳaltsel,Translator,"Amandah Ḳṿiḳ ; ʻIvrit, Yiśraʾelah Ḳaltsel",,Rendezvous
OL35620856M,Ana Mazia,Translator,,,Rendezvous
OL12514412M,,,,,Rendezvous
OL21524717M,,,Amanda Quick.,,
OL22568153M,,,Amanda Quick.,,
OL12960873M,,,,,Rendezvous
OL24918778M,,,by Julie Garwood,,
OL37444209M,Andrea Gouveia,Editor,,,
OL23202440M,,,by Georgette Heyer.,,
OL26648719M,,,Amanda Quick ; [trad. de l'anglais par Martine Bruce],,Rendezvous
OL1716173M,,,Amanda Quick.,,
OL25416452M,Dr. Nickelby Wessington-Worth,Foreword,,,
OL23240893M,,,Clarice Lispector ; translated with an afterword by Giovanni Pontiero.,,
OL59157015M,,,,eng,War of the worlds
OL59049676M,Henrique Alvim-Corrêa,Illustrator,,,
OL59049676M,Lesley Gray,Introduction,,,
OL34242741M,Leonardo Pablo Federico Sanchez Alonso,Translator,,,
OL27198295M,,,Hebote Qiaozhi Wei'ersi zhu ; Dai'en yi = The war of the worlds / Herbert George Wells,,
OL24896411M,,,"Clarice Lispector ; translated, with an afterword, by Giovanni Pontiero ; introduction by Colm Tóibín",,
OL23046377M,,,Clarice Lispector.,,
OL16790603M,,,Clarice Lispector.,,
OL2306073M,,,Clarice Lispector ; translated with an afterword by Giovanni Pontiero.,,
OL1550308M,,,Clarice Lispector ; translated with an afterword by Giovanni Pontiero.,,
OL22334301M,,,Clarice Lispector ; translated with an afterword by Giovanni Pontiero.,,
OL17401380M,,,Clarice Lispector.,,
OL58013422M,Joe Mugaini,Illustrator,,,
OL58013422M,J. B. Priestly,Introduction,,,
OL34165613M,Matias Alonso,Translator,,,
OL26801125M,,,,eng,The War of the Worlds
OL33009762M,,,H.G. Wells ; traducción de Julio Vacareza,,
OL32114225M,,,H.G. Wells ; trad. de l'anglais par Henry D. Davray,,
OL4316286M,,,Clarice Lispector.,,
OL15083909M,,,Clarice Lispector ; translated with an afterword by Giovanni Pontiero.,,
OL14423556M,,,Clarice Lispector,,
OL35693081M,Victor Burton,Designer,,,
OL35693081M,Anderson Junqueira,Designer,,,
OL35693081M,Clarice Lispector,Cover Art,,,
OL59049253M,"Miller, Aaron",Additional Author (this edition),,,
OL59049232M,D. Hollis Anderson,Introduction,with Intro by D. Hollis Anderson,,
OL59048045M,Henrique Alvin Correa,Illustrator,with the original illustrations by Henrique Alvin Correa,,
OL55932335M,,,,,The war of the worlds
OL52153465M,H. G. Wells,Author name as appears on this edition,,eng,The War of the Worlds
OL52153465M,María Cecilia Lozano,Translator,,eng,The War of the Worlds
OL25656925M,,,H.-G. Wells ; traduit de l'Anglais par Henry D. Davray ; édition illustrée par Alvim-Corrêa,,
OL33042326M,,,H.G. Wells ; vert. [uit het Engels] door Arie Storm,,
OL28800456M,Protobunker Studio,Illustrator,,,
OL28800456M,Jose Ruiz,Illustrator,,,
OL28800456M,Tod Smith,Illustrator,,,
OL28800456M,Davis Worth Miller,Adaptation of original work by,,,
OL35382486M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL35382484M,,,,eng,The War of the Worlds
OL35382483M,,,,eng,The War of the Worlds
OL31096M,,,H.G. Wells ; adapted by Bob Blaisdell ; illustrated by John Green.,,
OL35382479M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL35382485M,Julio Vaccareza,Translator,,eng,The War of the Worlds
OL1004006M,,,H.G. Wells.,,
OL7003374M,,,by H.G. Wells ...,,
OL6475751M,,,by H.G. Wells.,,
OL3943352M,,,H.G. Wells ; illustrated by Tom Kidd ; afterword by Peter Glassman.,,
OL20812220M,,,H.G. Wells ; introduced by Arthur C. Clarke.,,
OL14842124M,,,by H.G. Wells.,,
OL5906325M,,,Illustrated by Joe Mugnaini. Introd. by J. B. Priestley.,,
OL24056945M,,,H.G. Wells ; edited by Denton Cairnes ; afterword by Beth Johnson.,,
OL35224287M,Common Dyslexia-friendly,Editor,,,
OL23766759M,,,by H.G. Wells.,,
OL21190356M,,,,eng,The War of the Worlds
OL1564991M,,,with introduction and notes by David Y. Hughes and Harry M. Geduld.,,
OL3393466M,,,H.G. Wells ; illustrated by Edward Gorey.,,
OL26500826M,Benjamin Briggent,Translator,,eng,The War of the Worlds
OL22293467M,,,by H.G. Wells.,,
OL18331267M,,,H.G. Wells.,,
OL5906034M,,,H.G. Wells ; introduction by J.B. Priestley ; illustrated by Joe Mugnaini.,,
OL22611179M,,,(by) H.G. Wells.,,
OL22328262M,,,by H. G. Wells.,,
OL19084146M,,,by H.G. Wells.,,
OL13562583M,,,by H.G. Wells.,,
OL24093138M,,,H.G. Wells ; edited by Denton Cairnes ; afterword by Beth Johnson.,,
OL3034025M,,,"H.G. Wells ; ilustrações, Alvim Corrêa ; tradução, Raul de Sá Barbosa.",,
OL9174838M,,,,eng,The War of the Worlds
OL23023180M,Domingo Santos,Translator,,eng,The War of the Worlds
OL23023180M,Nicolás Casariego,Prologue,,eng,The War of the Worlds
OL22812547M,,,H.G. Wells.,,
OL5799933M,,,Illustrated by Edward Gorey.,,
OL13856774M,,,traduit de l'anglais par HenryD. Davray.,,
OL22068082M,,,H. G. Wells.,,
OL26968644M,,,H. G. Wells,eng,The War of the Worlds
OL24223358M,Orson Scott Card,Introduction,with an introduction by Orson Scott Card.,,
OL34963457M,Denise McTighe,Editor,,,
OL34963457M,Randy Sookanan,Introduction,,,
OL35296119M,Paula Benitez,Editor,,,
OL17922630M,,,H.G. Wells ; edited by Patrick Parrinder ; with an introduction by Brian Aldiss and notes by Andy Sawyer.,,
OL20890089M,,,på dansk ved Jannick Storm.,,
OL24041492M,,,"Khėrbert Zh. Velʹs ; Angli khėlnėės orchuulsan, P. Naransumʺii︠a︡, N. Mishėėl ; orchuulgyn redaktor bȯgȯȯd ȯmnȯkh u̇giĭg bichsėn P. Ni︠a︡mdavaa.",,
OL28885218M,Julio Vacarezza,Translator,,eng,The War of the Worlds
OL28885218M,Félix G. Palma,Introduction,,eng,The War of the Worlds
OL27095086M,,,H.G. Wells,,
OL26344121M,,,H.G. Wells,,
OL26240833M,Domingo Santos,Translator,,eng,The War of the Worlds
OL25624343M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL25624343M,Ana Conejo,Introduction,,eng,The War of the Worlds
OL25624343M,Ana Conejo,Appendix,,eng,The War of the Worlds
OL25624343M,Enrique Flores,Illustrator,,eng,The War of the Worlds
OL13192591M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL31164104M,,,H.G. Wells ; illustrated by Scott McKowen,,
OL7513512M,,,With An Introduction By Orson Scott Card,,
OL9330260M,,,,eng,The War of the Worlds
OL24243973M,Kathryn Knight,Editor,,,
OL24243973M,Renee Morton,Text Design,,,
OL24243973M,Katherine Van Mol,Cover Designer,,,
OL24243973M,Jim Salvati,Cover artist,,,
OL19014408M,,,by H. G. Wells.,,
OL23208512M,,,H.G. Wells ; with a new introduction by Karl Kroeber and with an afterword by Isaac Asimov.,,
OL22326390M,,,H.G. Wells ; in the collected Essex edition.,,
OL23766809M,,,by H.G. Wells.,,
OL14976554M,,,by Anne Weale.,,
OL25567218M,,,H. G. Wells ; Retold by David Maule,,
OL9155129M,Julio Vacareza,Translator,,eng,The War of the Worlds
OL9116348M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL13187963M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL13187963M,Eugenio Darnet,Illustrator,,eng,The War of the Worlds
OL13354862M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL3946486M,,,H.G. Wells.,,
OL3392127M,,,H.H. Wells ; essays edited by Glenn Yeffeth.,,
OL22934376M,,,H. G. Wells.,,
OL1102336M,,,H.G. Wells ; edited by David Y. Hughes ; with an introduction by Brian W. Aldiss.,,
OL23174947M,,,by H. G. Wells.,,
OL23009429M,,,H.G. Wells.,,
OL6796608M,,,H.G. Wells ; edited by Leon Stover.,,
OL9524394M,,,,eng,The War of the Worlds
OL5768697M,,,"[by] H. G. Wells, with a general introduction by Frank Wells, original illustrations by Graham Byfield.",,
OL16173232M,,,traduit de l'anglais par HenryD. Davray.,,
OL35353714M,Ramiro de Maeztu,Translator,,eng,The War of the Worlds
OL35353714M,Constantino Bértolo Cadenas,Appendix,,eng,The War of the Worlds
OL35353714M,Mario Lacoma,Illustrator,,eng,The War of the Worlds
OL18817243M,,,Penny Jordan.,,
OL17951315M,,,Penny Jordan.,,
OL9875101M,Domingo Santos,Translator,,eng,The War of the Worlds
OL9875101M,Nicolás Casariego,Prologue,,eng,The War of the Worlds
OL31018611M,,,by H. G. Wells,,
OL9149194M,,,,eng,The War of the Worlds
OL22345697M,,,(by) H.G. Wells.,,
OL22042701M,,,H. G. Wells.,,
OL15358134M,,,by H.G. Wells.,,
OL24000411M,,,H.G. Wells ; edited by Denton Cairnes ; afterword by Beth Johnson.,,
OL22756753M,,,"H.G.Wells ; retold by David Maule, series editors: Andy Hopkins and Jocelyn Potter.",,
OL19826603M,,,H. G. Wells ; traduit par Henry D. Davray,,
OL1117502M,,,H.G. Wells.,,
OL24937296M,,,Anne Weale,,
OL3283239M,,,Gayle Callen.,,
OL32141809M,,,Carole Mortimer,,
OL2866201M,,,Jean S. MacLeod.,,
OL59279598M,,,,,Fried Green Tomatoes at the Whistle Stop Cafe
OL22909847M,,,Fannie Flagg.,,
OL1290455M,,,Fannie Flagg.,,
OL3434036M,,,Fannie Flagg.,,
OL14979898M,,,by Mary Burchell.,,
OL14978198M,,,by Carole Mortimer.,,
OL14977908M,,,by Penny Jordan.,,
OL2033228M,,,Fannie Flagg.,,
OL21992512M,,,Fannie Flagg.,,
OL3568860M,,,Fannie Flagg.,,
OL15235880M,,,traduit de l'américain par Philippe Romard.,,
OL23019687M,,,"Fannie Flagg ; [traducción, Víctor Pozanco].",,
OL26483928M,,,Flagg Fannie ; Izumi Akiko,,
OL27118176M,,,Fenni Flegg ; perevod s angliĭskogo D.V. Krupskoĭ,,
OL27194892M,,,Anna Todd,,
OL14978866M,,,Charlotte Lamb.,,
OL15003118M,,,Fannie Flagg,,
OL2383989M,,,Fannie Flagg.,,
OL22298123M,,,Fannie Flagg.,,
OL42639M,,,Fannie Flagg.,,
OL6799278M,,,Fannie Flagg.,,
OL28685085M,,,Fannie Flagg ; [trad. de l'américain par Philippe Rouard],,
OL1975994M,,,by Madeleine Ker.,,
OL14977710M,,,by Margaret Way.,,
OL26330295M,,,Helen Bianchin,,
OL24738370M,,,Penny Jordan,,
OL22238646M,,,by Sandra Field.,,
OL28370802M,,,Sandra Brown,,
OL3954597M,,,Sandra Brown.,,
OL15321599M,,,Sandra Brown,,
OL14978187M,,,by Elizabeth Graham.,,
OL14976759M,,,by Janice Gray.,,
OL21366017M,,,Sally Wentworth.,,
OL14977002M,,,by Sally Wentworth.,,
OL10691743M,,,Madeleine Ker,,
OL24751489M,,,Lucy Gordon,,
OL21222190M,,,by Margaret Way.,,
OL24959039M,,,by Margaret Way,,
OL32700793M,,,Helen Bianchin,,
OL21222710M,,,Penny Jordan.,,
OL1645937M,,,by Penny Jordan.,,
OL14977701M,,,by Sandra Field.,,
OL27135443M,,,Sandra Braun ; [perevod s angliĭskogo K.V. Bugaevoĭ],,
OL14978345M,,,by Jean S. MacLeod.,,
OL14977887M,,,by Margaret Way.,,
OL10738353M,,,Sandra Field,,
OL21310122M,,,by Sandra Field.,,
OL38344994M,,,,,The Tides of Summer
OL22379954M,,,Kerry Allyne.,,
OL14978305M,,,by Kerry Allyne.,,
OL37735949M,,,Sandra Brown. Aus dem Amerikan. von Johannes Heitmann,,
OL22370183M,,,Sandra Brown.,,
OL26523721M,,,by Kay Thorpe,,
OL32714260M,,,by Michelle Reid,,
OL1560669M,,,Sally Wentworth.,,
OL14980748M,,,by Carole Mortimer.,,
OL10738265M,,,Carole Mortimer,,
OL24200207M,,,Nora Roberts.,,
OL1870961M,,,Charlotte Lamb.,,
OL24373757M,,,Charlotte Lamb,,
OL21310124M,,,by Kathryn Cranmer.,,
OL24740063M,,,Charlotte Lamb,,
OL24213063M,,,by Violet Winspear.,,
OL52455847M,Ana Isabel Sánchez Díez,Translator,,,
OL52455847M,Ali Hazelwood,Author name as appears on this edition,,,
OL38628096M,,,,eng,The Love Hypothesis
OL37803633M,Ana Isabel Sánchez Díez,Translator,,eng,The Love Hypothesis
OL21221285M,,,by Charlotte Lamb.,,
OL26950436M,,,Gail Honeyman ; traducción de Julia Osuna Aguilar,,
OL2672998M,,,by Carole Mortimer.,,
OL32118177M,,,Nora Roberts ; traduit de l'anglais (États-Unis) par Isabelle St. Martin,,
OL60989359M,Marjet Schumacher,Translator,,eng,The Love Hypothesis
OL44945594M,Célia Correia Loureiro,Translator,,,
OL14978358M,,,by Kathryn Cranmer.,,
OL26959023M,,,Gail Honeyman,,
OL26415368M,,,Emilie Loring,,
OL15139923M,,,(by) Emilie Loring.,,
OL32370098M,,,Sarah Morgan,,
OL23877639M,,,Trish Morey.,,
OL33408218M,Daniel Philpott,Narrator/Reader,,,
OL14980884M,,,by Robyn Donald.,,
OL4408415M,,,Emilie Loring.,,
OL5617405M,,,[by] Emilie Loring.,,
OL24207490M,,,Trish Morey,,
OL1823340M,,,Robyn Donald.,,
OL24210943M,,,Emilie Loring,,
OL4898714M,,,Emilie Loring.,,
OL1301865M,,,by Catherine George.,,
OL30098438M,,,by Lynne Graham,,
OL17328745M,,,by Betty Neels.,,
OL1627307M,,,by Penny Jordan.,,
OL17493228M,,,Emma Darcy.,,
OL17403942M,,,by Emma Darcy.,,
OL31992151M,,,Patricia Wilson,eng,The gift of loving
OL36627342M,,,"Lao lun si, bi bing bin",,
OL44984762M,,,D.H. Lawrence ; traduit de l'anglais par Maurice Rancès,,
